Mindat_id,Deposit_type,age_category,litho_class,Latitude,Longitude,age_midpoint_ma,lithology_A_class,lithology_A_status,lithology_A_source
10790.0,Sediment-Hosted,Paleozoic,other,45.9369444444,-64.4769444444,300.0,other,other,Macrostrat_original
10867.0,VMS,Precambrian,mafic,48.0727777778,-77.7133333333,2715.0,mafic,resolved,Macrostrat_original
10915.0,VMS,Precambrian,siliciclastic,65.141854,19.157208,1950.0,siliciclastic,resolved,Macrostrat_original
10917.0,VMS,Precambrian,felsic,65.09996,19.102939,1520.5,felsic,resolved,Macrostrat_original
10918.0,VMS,Precambrian,volcanic,65.089900871547,14.45798134795,1950.0,volcanic,resolved,Macrostrat_original
11127.0,Magmatic sulfide,Precambrian,siliciclastic,46.58,-80.795,1780.0,siliciclastic,resolved,Macrostrat_original
11182.0,VMS,Precambrian,volcanic,54.763888888889,-101.88361111111,1800.0,volcanic,resolved,Macrostrat_original
11307.0,Porphyry,Paleozoic,other,48.9705555556,-65.5202777778,348.0,other,other,Macrostrat_original
11434.0,VMS,Unknown,unknown,0.0,0.0,,unknown,unknown,Macrostrat_original
11459.0,Porphyry,Unknown,volcanic,34.4822222222,-111.856944444,,volcanic,resolved,Macrostrat_original
11508.0,VMS,Precambrian,unknown,0.0,0.0,770.5,unknown,unknown,Macrostrat_original
11605.0,VMS,Paleozoic,other,31.364692687987,-8.0559644848108,350.0,other,other,Macrostrat_original
11726.0,IOCG,Precambrian,siliciclastic,-30.44,136.872777778,1070.5,siliciclastic,resolved,Macrostrat_original
11734.0,VMS,Cenozoic,volcanic,40.1669444444,140.832777778,14.15,volcanic,resolved,Macrostrat_original
11777.0,VMS,Paleozoic,mafic,47.2908333333,-66.0805555556,464.5,mafic,resolved,Macrostrat_original
11803.0,VMS,Paleozoic,felsic,-41.8402208296,145.516600589,518.0,felsic,resolved,Macrostrat_original
11824.0,VMS,Mesozoic,volcanic,55.4333333333,-129.816666667,240.0,volcanic,resolved,Macrostrat_original
11886.0,VMS,Precambrian,metamorphic,-25.453766666667,118.57144444444,1800.0,metamorphic,resolved,Macrostrat_original
11952.0,Magmatic sulfide,Unknown,mafic,-25.541142,27.184777,,mafic,resolved,Macrostrat_original
11973.0,Porphyry,Cenozoic,volcanic,18.8808333333,-101.640833333,36.0,volcanic,resolved,Macrostrat_original
12048.0,VMS,Precambrian,siliciclastic,60.194208643377,23.363960814819,1800.0,siliciclastic,resolved,Macrostrat_original
12053.0,VMS,Precambrian,felsic,61.71,23.25,1900.0,felsic,resolved,Macrostrat_original
12054.0,Porphyry,Precambrian,siliciclastic,63.7708333333,25.2338888889,1850.0,siliciclastic,resolved,Macrostrat_original
12057.0,Porphyry,Mesozoic,mafic,50.6,-127.477777778,171.0,mafic,resolved,Macrostrat_original
12663.0,Porphyry,Cenozoic,felsic,48.430248,18.769848,14.5,felsic,resolved,Macrostrat_original
13126.0,VMS,Precambrian,siliciclastic,63.6833333333,25.9833333333,1520.5,siliciclastic,resolved,Macrostrat_original
13132.0,VMS,Precambrian,siliciclastic,62.4622222222,30.03,2150.0,siliciclastic,resolved,Macrostrat_original
13203.0,Sediment-Hosted,Unknown,unknown,0.0,0.0,,unknown,unknown,Macrostrat_original
13473.0,Sediment-Hosted,Paleozoic,siliciclastic,-35.0919444444,139.004722222,530.0,siliciclastic,resolved,Macrostrat_original
13474.0,Sediment-Hosted,Precambrian,carbonate,-32.0744438171387,138.279724121094,630.0,carbonate,resolved,Macrostrat_original
13477.0,Sediment-Hosted,Precambrian,carbonate,-34.3472222222,138.917777778,650.0,carbonate,resolved,Macrostrat_original
13482.0,Sediment-Hosted,Precambrian,other,-10.9755555556,25.9002777778,900.0,other,other,Macrostrat_original
13770.0,Porphyry,Unknown,volcanic,40.5815094,45.790990633643,,volcanic,resolved,Macrostrat_original
13826.0,IOCG,Precambrian,other,28.015,75.775555555556,812.5,other,other,Macrostrat_original
13841.0,Sediment-Hosted,Unknown,siliciclastic,40.3236111111,-75.47,,siliciclastic,resolved,Macrostrat_original
13949.0,Sediment-Hosted,Precambrian,volcanic,-12.379562748361,27.828448825423,900.0,volcanic,resolved,Macrostrat_original
13955.0,VMS,Precambrian,metamorphic,65.065722605543,18.564164400013,1890.0,metamorphic,resolved,Macrostrat_original
13958.0,IOCG,Unknown,metamorphic,-33.9758333333,137.689166667,,metamorphic,resolved,Macrostrat_original
14050.0,VMS,Paleozoic,unknown,0.0,0.0,464.5,unknown,unknown,Macrostrat_original
14096.0,VMS,Mesozoic,other,24.273273850227,56.433540153503,100.0,other,other,Macrostrat_original
