Mindat_id,Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,glim_level1_code,glim_level1_description,lithology_B_class,lithology_B_status,lithology_B_confidence,glim_mapping_rationale,glim_match_method,glim_match_count,glim_overlap_ambiguous,lithology_B_source
8418.0,VMS,Precambrian,18.0163888889,43.7011111111,1520.5,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
8428.0,Porphyry,Cenozoic,7.33333333333,126.15,10.65,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
8563.0,VMS,Cenozoic,15.987921786818,119.95553389241,50.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
8577.0,Porphyry,Cenozoic,9.49166666667,122.679166667,28.45,pa,Acid plutonic rocks,felsic,resolved,high,Acid plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8582.0,Porphyry,Cenozoic,17.3444444444,121.058333333,8.45,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
8587.0,VMS,Paleozoic,23.1097222222,97.2966666667,470.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
8588.0,VMS,Mesozoic,24.35,56.4,100.0,pb,Basic plutonic rocks,mafic,resolved,high,Basic plutonic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8667.0,VMS,Mesozoic,33.8527777778,133.313888889,170.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
8700.0,VMS,Precambrian,54.6611111111,-102.033333333,1520.5,vb,Basic volcanic rocks,volcanic,resolved,high,Basic volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8701.0,Magmatic sulfide,Precambrian,55.7022222222,-97.9247222222,1880.0,mt,Metamorphics,metamorphic,resolved,high,Direct Level 1 correspondence,exact_point_in_polygon,1,False,GLiM_full_polygon
8744.0,Sediment-Hosted,Precambrian,-31.087736111111,138.67381944444,630.0,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
8794.0,VMS,Mesozoic,55.393361111111,-129.85136388889,226.5,vb,Basic volcanic rocks,volcanic,resolved,high,Basic volcanic rock,exact_point_in_polygon,1,False,GLiM_full_polygon
8802.0,Porphyry,Cenozoic,16.6377777778,120.676666667,10.5,sm,Mixed sedimentary rocks,other,other,low,Mixed sedimentary not forced into carbonate or siliciclastic,exact_point_in_polygon,1,False,GLiM_full_polygon
