Deposit_type,Macrostrat_lithology_status,count,group_total,percent_within_group,cohort,status_variable,grouping,continent_country,GLiM_lithology_status,age_status,coordinate_status
,,64,120,53.333333333333336,coordinate_valid_1237,GLiM_lithology_status,continent_country,Oceania,resolved,,
,,40,153,26.143790849673202,coordinate_valid_1237,GLiM_lithology_status,continent_country,South America,other,,
,,113,153,73.85620915032679,coordinate_valid_1237,GLiM_lithology_status,continent_country,South America,resolved,,
IOCG,,3,3,100.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Africa,resolved,,
IOCG,,7,16,43.75,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,other,,
IOCG,,9,16,56.25,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,resolved,,
IOCG,,1,10,10.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,other,,
IOCG,,9,10,90.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,resolved,,
IOCG,,6,11,54.54545454545455,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,other,,
IOCG,,5,11,45.45454545454545,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,resolved,,
IOCG,,18,27,66.66666666666667,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Oceania,other,,
IOCG,,9,27,33.333333333333336,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Oceania,resolved,,
IOCG,,4,15,26.666666666666668,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,South America,other,,
IOCG,,11,15,73.33333333333333,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,South America,resolved,,
Magmatic sulfide,,17,17,100.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Africa,resolved,,
Magmatic sulfide,,13,38,34.21052631578947,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,other,,
Magmatic sulfide,,25,38,65.78947368421052,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Asia,resolved,,
Magmatic sulfide,,1,4,25.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,other,,
Magmatic sulfide,,3,4,75.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Europe,resolved,,
Magmatic sulfide,,3,18,16.666666666666668,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,other,,
Magmatic sulfide,,15,18,83.33333333333333,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,North America,resolved,,
Magmatic sulfide,,2,4,50.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Oceania,other,,
Magmatic sulfide,,2,4,50.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Oceania,resolved,,
Porphyry,,3,3,100.0,coordinate_valid_1237,GLiM_lithology_status,Deposit_type × continent_country,Africa,resolved,,
