Mindat_id,Deposit_type,age_category,litho_class,Latitude_stage0,Longitude_stage0,age_midpoint_ma,Deposit_name,Country,Latitude_main,Longitude_main,lithology_A_class,lithology_A_status,lithology_B_class,lithology_B_status,Latitude,Longitude,coordinate_valid,Country_clean,continent_country,Macrostrat_lithology_status,GLiM_lithology_status,age_status,coordinate_status,Macrostrat_nonresolved,GLiM_nonresolved,age_unknown,coordinate_missing
7314,Porphyry,Unknown,unknown,0.0,0.0,,Stinkingwater,USA,0.0,0.0,unknown,unknown,unknown,unknown,0.0,0.0,False,USA,North America,unknown,unknown,unknown,missing_or_invalid,True,True,True,True
7372,VMS,Paleozoic,unknown,0.0,0.0,440.0,Ledge Ridge,USA,0.0,0.0,unknown,unknown,unknown,unknown,0.0,0.0,False,USA,North America,unknown,unknown,resolved,missing_or_invalid,True,True,False,True
7376,VMS,Paleozoic,unknown,0.0,0.0,500.0,Alder Pond,USA,0.0,0.0,unknown,unknown,unknown,unknown,0.0,0.0,False,USA,North America,unknown,unknown,resolved,missing_or_invalid,True,True,False,True
7377,Porphyry,Paleozoic,felsic,45.6,-70.3333333333,443.0,Sally  Mountain,USA,45.6,-70.3333333333,felsic,resolved,felsic,resolved,45.6,-70.3333333333,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
7378,Porphyry,Paleozoic,felsic,45.5358333333,-70.2166666667,443.0,Catheart  Mt.,USA,45.5358333333,-70.2166666667,felsic,resolved,felsic,resolved,45.5358333333,-70.2166666667,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
7797,Magmatic sulfide,Precambrian,mafic,-27.22868394857,120.54439591183,2706.0,Mount Keith,Australia,-27.22868394857,120.54439591183,mafic,resolved,other,other,-27.22868394857,120.54439591183,True,Australia,Oceania,resolved,other,resolved,valid,False,True,False,False
7971,Sediment-Hosted,Unknown,carbonate,35.993888855,-106.896942139,,Nacimiento,USA,35.993888855,-106.896942139,carbonate,resolved,siliciclastic,resolved,35.993888855,-106.896942139,True,USA,North America,resolved,resolved,unknown,valid,False,False,True,False
8049,Magmatic sulfide,Precambrian,siliciclastic,46.458842,-81.080933,1785.0,Copper Cliff South,Canada,46.458842,-81.080933,siliciclastic,resolved,other,other,46.458842,-81.080933,True,Canada,North America,resolved,other,resolved,valid,False,True,False,False
8064,Porphyry,Cenozoic,felsic,38.4891666667,-113.1275,28.0,OK,USA,38.4891666667,-113.1275,felsic,resolved,felsic,resolved,38.4891666667,-113.1275,True,USA,North America,resolved,resolved,resolved,valid,False,False,False,False
8082,Magmatic sulfide,Precambrian,other,46.6333333333,-81.3833333333,1770.0,Strathcona,Canada,46.6333333333,-81.3833333333,other,other,mafic,resolved,46.6333333333,-81.3833333333,True,Canada,North America,other,resolved,resolved,valid,True,False,False,False
8182,Magmatic sulfide,Precambrian,felsic,46.5361111111,-80.9988888889,1785.0,Frood-Stobie,Canada,46.5361111111,-80.9988888889,felsic,resolved,volcanic,resolved,46.5361111111,-80.9988888889,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
8302,Sediment-Hosted,Precambrian,mafic,26.180074,103.05997,1500.0,TangDan,China,26.180074,103.05997,mafic,resolved,other,other,26.180074,103.05997,True,China,Asia,resolved,other,resolved,valid,False,True,False,False
8417,Porphyry,Paleozoic,volcanic,40.8138888889,69.6463888889,293.0,Almalyk,Uzbekistan,40.8138888889,69.6463888889,volcanic,resolved,volcanic,resolved,40.8138888889,69.6463888889,True,Uzbekistan,Asia,resolved,resolved,resolved,valid,False,False,False,False
8418,VMS,Precambrian,other,18.0163888889,43.7011111111,1520.5,Al Masane,Saudi Arabia,18.0163888889,43.7011111111,other,other,metamorphic,resolved,18.0163888889,43.7011111111,True,Saudi Arabia,Asia,other,resolved,resolved,valid,True,False,False,False
8428,Porphyry,Cenozoic,other,7.33333333333,126.15,10.65,Amacan,Philippines,7.33333333333,126.15,other,other,other,other,7.33333333333,126.15,True,Philippines,Asia,other,other,resolved,valid,True,True,False,False
8563,VMS,Cenozoic,other,15.987921786818,119.95553389241,50.0,Barlo,Philippines,15.987921786818,119.95553389241,other,other,other,other,15.987921786818,119.95553389241,True,Philippines,Asia,other,other,resolved,valid,True,True,False,False
8577,Porphyry,Cenozoic,other,9.49166666667,122.679166667,28.45,Basay,Philippines,9.49166666667,122.679166667,other,other,felsic,resolved,9.49166666667,122.679166667,True,Philippines,Asia,other,resolved,resolved,valid,True,False,False,False
8582,Porphyry,Cenozoic,other,17.3444444444,121.058333333,8.45,Batong  Buhay,Philippines,17.3444444444,121.058333333,other,other,other,other,17.3444444444,121.058333333,True,Philippines,Asia,other,other,resolved,valid,True,True,False,False
8587,VMS,Paleozoic,metamorphic,23.1097222222,97.2966666667,470.0,Bawdwin,Myanmar,23.1097222222,97.2966666667,metamorphic,resolved,other,other,23.1097222222,97.2966666667,True,Myanmar,Asia,resolved,other,resolved,valid,False,True,False,False
8588,VMS,Mesozoic,other,24.35,56.4,100.0,Bayda,Oman,24.35,56.4,other,other,mafic,resolved,24.35,56.4,True,Oman,Asia,other,resolved,resolved,valid,True,False,False,False
8667,VMS,Mesozoic,other,33.8527777778,133.313888889,170.0,Besshi,Japan,33.8527777778,133.313888889,other,other,metamorphic,resolved,33.8527777778,133.313888889,True,Japan,Asia,other,resolved,resolved,valid,True,False,False,False
8700,VMS,Precambrian,volcanic,54.6611111111,-102.033333333,1520.5,Birch Lake,Canada,54.6611111111,-102.033333333,volcanic,resolved,volcanic,resolved,54.6611111111,-102.033333333,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
8701,Magmatic sulfide,Precambrian,metamorphic,55.7022222222,-97.9247222222,1880.0,Birchtree,Canada,55.7022222222,-97.9247222222,metamorphic,resolved,metamorphic,resolved,55.7022222222,-97.9247222222,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
8744,Sediment-Hosted,Precambrian,carbonate,-31.087736111111,138.67381944444,630.0,Blinman,Australia,-31.087736111111,138.67381944444,carbonate,resolved,other,other,-31.087736111111,138.67381944444,True,Australia,Oceania,resolved,other,resolved,valid,False,True,False,False
8794,VMS,Mesozoic,mafic,55.393361111111,-129.85136388889,226.5,Bonanza,Canada,55.393361111111,-129.85136388889,mafic,resolved,volcanic,resolved,55.393361111111,-129.85136388889,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
8802,Porphyry,Cenozoic,other,16.6377777778,120.676666667,10.5,Boneng  Lobo,Philippines,16.6377777778,120.676666667,other,other,other,other,16.6377777778,120.676666667,True,Philippines,Asia,other,other,resolved,valid,True,True,False,False
8831,Porphyry,Cenozoic,other,-6.31513109142,155.495322227,3.4,Panguna,Papua New Guinea,-6.31513109142,155.495322227,other,other,other,other,-6.31513109142,155.495322227,True,Papua New Guinea,Oceania,other,other,resolved,valid,True,True,False,False
8859,Porphyry,Mesozoic,felsic,49.879444444444,-120.00638888889,143.0,Brenda,Canada,49.879444444444,-120.00638888889,felsic,resolved,felsic,resolved,49.879444444444,-120.00638888889,True,Canada,North America,resolved,resolved,resolved,valid,False,False,False,False
