Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_evaporite_merged,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_evaporite_merged,GLiM_model_lithology,Combined_raw_lithology,Combined_evaporite_merged,Combined_model_lithology
Porphyry,Cenozoic,22.123619596776,95.03357505746,16.0,16510,other,False,other,other,False,other,other,False,other
Magmatic sulfide,Precambrian,46.5177777778,-81.0588888889,1785.0,16722,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
VMS,Paleozoic,47.5252777778,-66.4316666667,445.0,16723,mafic,False,mafic,volcanic,False,volcanic,mafic,False,mafic
VMS,Paleozoic,-31.25874246,146.8696319,510.0,16762,volcanic,False,volcanic,other,False,other,volcanic,False,volcanic
IOCG,Paleozoic,19.2366666667,109.043333333,525.0,17046,other,False,other,metamorphic,False,metamorphic,metamorphic,False,metamorphic
Sediment-Hosted,Precambrian,-13.4608742,24.9932957,900.0,17053,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
VMS,Precambrian,65.230748903939,18.88184022886,1950.0,17055,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
Sediment-Hosted,Unknown,-22.978311,17.077479,,17154,metamorphic,False,metamorphic,metamorphic,False,metamorphic,metamorphic,False,metamorphic
Porphyry,Cenozoic,-5.2080348283979,141.13899815844,1.15,17175,other,False,other,other,False,other,other,False,other
VMS,Paleozoic,33.5138888889,132.655555556,360.0,17373,other,False,other,volcanic,False,volcanic,volcanic,False,volcanic
VMS,Precambrian,54.962555555556,-99.728194444444,1800.0,17460,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
VMS,Mesozoic,15.55,-89.7166666667,100.0,17539,other,False,other,mafic,False,mafic,mafic,False,mafic
VMS,Paleozoic,-35.062222222222,149.57027777778,430.0,17692,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
Porphyry,Cenozoic,48.1975,-120.978888889,21.0,17816,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
Porphyry,Unknown,47.4966666667,-121.36,,18255,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
Porphyry,Cenozoic,48.0086111111,-121.503611111,28.0,18270,volcanic,False,volcanic,siliciclastic,False,siliciclastic,volcanic,False,volcanic
Magmatic sulfide,Precambrian,-21.9469444444,27.8552777778,2600.0,18379,volcanic,False,volcanic,metamorphic,False,metamorphic,volcanic,False,volcanic
Porphyry,Mesozoic,30.3333333333,-109.633333333,92.5,18441,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
VMS,Precambrian,64.8256136963,20.2283273935,1520.5,18571,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
VMS,Precambrian,65.375332040886,18.641685962502,1520.5,18578,felsic,False,felsic,metamorphic,False,metamorphic,felsic,False,felsic
VMS,Precambrian,64.9232070708,20.0928840623,1520.5,18580,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
VMS,Precambrian,64.9391649158,20.0698227881,1520.5,18581,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
VMS,Precambrian,64.922144814,20.2669007776,1950.0,18583,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
VMS,Paleozoic,48.462462,-3.6091719999999,400.0,18672,carbonate,False,carbonate,other,False,other,carbonate,False,carbonate
VMS,Paleozoic,51.6333333333,81.75,388.0,18705,other,False,other,other,False,other,other,False,other
VMS,Mesozoic,35.097000904691,32.890835189352,100.0,18790,mafic,False,mafic,felsic,False,felsic,mafic,False,mafic
IOCG,Unknown,63.7583,-116.9167,,18837,felsic,False,felsic,felsic,False,felsic,felsic,False,felsic
VMS,Precambrian,-28.408309962785,121.14965749495,2690.0,18839,felsic,False,felsic,volcanic,False,volcanic,felsic,False,felsic
Magmatic sulfide,Unknown,-17.06367713504,31.655559539795,,18963,metamorphic,False,metamorphic,metamorphic,False,metamorphic,metamorphic,False,metamorphic
Sediment-Hosted,Precambrian,0.20487741679014,30.002605319023,2000.0,19036,volcanic,False,volcanic,evaporite,True,other,volcanic,False,volcanic
IOCG,Unknown,-20.9522349734,140.980773926,,19062,carbonate,False,carbonate,other,False,other,carbonate,False,carbonate
Sediment-Hosted,Precambrian,-32.1075,138.77,630.0,19089,carbonate,False,carbonate,other,False,other,carbonate,False,carbonate
