Deposit_type,age_category,Latitude,Longitude,Mindat_id,mapped_species_count,present_family_count
IOCG,Precambrian,-6.0325,-50.566388888889,24995,67,27.0
Porphyry,Mesozoic,42.546944444444,24.135833333333,25120,69,28.0
Porphyry,Mesozoic,42.75,24.0333333333,25121,73,25.0
Sediment-Hosted,Unknown,29.75589558947,34.989183355439,25286,23,16.0
Sediment-Hosted,Paleozoic,34.81733,-97.24153,25293,19,12.0
VMS,Precambrian,65.65,-112.816666667,25303,56,21.0
Porphyry,Cenozoic,-17.245252375894,-70.613077242235,25368,28,19.0
Porphyry,Unknown,28.6322317118,-109.623084381,25444,4,3.0
Porphyry,Cenozoic,8.5,-81.7833333333,25581,16,12.0
VMS,Mesozoic,22.89167,-83.24444,25611,9,7.0
VMS,Mesozoic,22.066666666667,-80.116666666667,25612,5,4.0
VMS,Cenozoic,20.046255874675,-75.944366455078,25613,20,16.0
VMS,Mesozoic,22.47,-84.13,25615,5,4.0
VMS,Precambrian,45.4708333333,-88.9194444444,25693,30,18.0
Magmatic sulfide,Precambrian,56.33,-62.0952777778,25759,46,21.0
Porphyry,Cenozoic,29.858957075158,-109.95820999146,25845,22,18.0
Porphyry,Cenozoic,46.3561111111,-122.080555556,25904,21,16.0
VMS,Precambrian,48.3597222222,-79.0825,25940,6,5.0
Porphyry,Mesozoic,44.123348392154,22.114625566226,25949,36,22.0
Magmatic sulfide,Unknown,-24.775342067169,27.350738258634,25958,9,4.0
VMS,Paleozoic,47.3966666667,-66.1297222222,26138,10,9.0
Porphyry,Mesozoic,49.018733427287,104.12498717579,26155,33,22.0
VMS,Paleozoic,49.6,-56.0075,26201,21,14.0
Magmatic sulfide,Unknown,-20.332577642886,30.059181153774,26314,17,7.0
IOCG,Unknown,-19.4478422436,133.818891957,26538,9,7.0
Porphyry,Unknown,38.98351,-119.19408,26686,17,12.0
Sediment-Hosted,Precambrian,-30.1766666667,139.279166667,26702,21,14.0
IOCG,Unknown,22.575,103.8,27056,34,22.0
Porphyry,Mesozoic,44.3833333333,21.95,27162,43,24.0
Porphyry,Cenozoic,-26.4983333333,-69.3994444444,27221,43,23.0
Porphyry,Cenozoic,-26.2444444444,-69.5575,27227,41,23.0
Porphyry,Cenozoic,-4.0560167339,137.113198169,27261,27,16.0
VMS,Precambrian,19.983247964966,42.012391984463,27717,4,3.0
VMS,Paleozoic,40.7333333333,-122.083333333,27934,18,13.0
Sediment-Hosted,Precambrian,-17.3758333333,30.0688888889,28042,7,6.0
VMS,Mesozoic,38.2833328247,39.7666664124,28095,44,21.0
VMS,Mesozoic,35.074463,32.843125,28109,29,15.0
VMS,Mesozoic,35.1041666667,32.8458333333,28110,5,5.0
VMS,Mesozoic,35.036793294095,32.482280733821,28152,4,4.0
Porphyry,Cenozoic,33.4077777778,-110.954722222,28230,46,27.0
Porphyry,Cenozoic,-27.3708333333,-66.28,28448,44,24.0
VMS,Paleozoic,13.2,124.15,28584,5,5.0
Porphyry,Unknown,10.313948183707,123.71268376923,28588,29,17.0
VMS,Paleozoic,34.2475,135.438888889,28719,25,10.0
VMS,Paleozoic,34.0288888889,134.322222222,28720,5,4.0
VMS,Paleozoic,34.0211111111,134.225,28721,7,5.0
VMS,Paleozoic,35.085,137.833333333,28722,12,9.0
VMS,Paleozoic,33.8277777778,133.472222222,28723,16,11.0
VMS,Paleozoic,36.6291666667,140.605555556,28724,20,12.0
VMS,Precambrian,65.372503014476,18.649008035572,29703,25,15.0
Porphyry,Mesozoic,50.6611111111,-120.515,30204,44,24.0
Sediment-Hosted,Precambrian,34.2718898,69.2937133,30621,19,13.0
Sediment-Hosted,Unknown,-27.600833333333,-70.163055555556,30673,90,26.0
Porphyry,Cenozoic,29.805,-104.4025,30976,11,9.0
Porphyry,Cenozoic,32.0275,-111.080555556,32000,9,8.0
Porphyry,Cenozoic,32.10292,-110.06876,32440,54,22.0
Sediment-Hosted,Cenozoic,-19.361370105939,-66.861841680366,32562,21,13.0
VMS,Unknown,67.137472,16.059489,32728,18,13.0
IOCG,Unknown,63.548220882342,-116.74073296354,32750,35,18.0
VMS,Unknown,59.3572222222,5.23083333333,32790,20,17.0
Porphyry,Precambrian,64.9872222222,19.7716666667,33241,15,10.0
VMS,Paleozoic,64.853111,13.884918,33954,18,13.0
VMS,Paleozoic,68.200929,15.991373,34420,9,6.0
VMS,Paleozoic,67.095265,16.001146,34428,33,13.0
Porphyry,Cenozoic,-27.3297222222,-66.6088888889,34975,33,19.0
VMS,Paleozoic,68.329524898,16.7902514037,35613,13,8.0
VMS,Unknown,67.132786,16.089266,36285,18,12.0
VMS,Paleozoic,62.10968,9.824278,36363,20,14.0
Porphyry,Mesozoic,-30.241578766321,-71.102801250415,36818,33,23.0
Porphyry,Unknown,35.3674943,-114.1410656,37441,31,20.0
Sediment-Hosted,Mesozoic,38.2411,-109.26375,38508,38,16.0
Porphyry,Precambrian,-24.272220317269,-69.068275471678,39272,56,27.0
Porphyry,Cenozoic,-20.98305202099,-68.673347057618,39273,79,30.0
