Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Mindat_id,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
VMS,Precambrian,62.4622222222,30.03,2150.0,13132,siliciclastic,siliciclastic,metamorphic,metamorphic
Sediment-Hosted,Paleozoic,-35.0919444444,139.004722222,530.0,13473,siliciclastic,siliciclastic,siliciclastic,siliciclastic
Sediment-Hosted,Precambrian,-32.0744438171387,138.279724121094,630.0,13474,carbonate,carbonate,carbonate,carbonate
Sediment-Hosted,Precambrian,-34.3472222222,138.917777778,650.0,13477,carbonate,carbonate,other,other
Sediment-Hosted,Precambrian,-10.9755555556,25.9002777778,900.0,13482,other,other,metamorphic,metamorphic
Porphyry,Unknown,40.5815094,45.790990633643,,13770,volcanic,volcanic,volcanic,volcanic
IOCG,Precambrian,28.015,75.775555555556,812.5,13826,other,other,other,other
Sediment-Hosted,Unknown,40.3236111111,-75.47,,13841,siliciclastic,siliciclastic,siliciclastic,siliciclastic
Sediment-Hosted,Precambrian,-12.379562748361,27.828448825423,900.0,13949,volcanic,volcanic,metamorphic,metamorphic
VMS,Precambrian,65.065722605543,18.564164400013,1890.0,13955,metamorphic,metamorphic,volcanic,volcanic
IOCG,Unknown,-33.9758333333,137.689166667,,13958,metamorphic,metamorphic,other,other
VMS,Mesozoic,24.273273850227,56.433540153503,100.0,14096,other,other,mafic,mafic
Porphyry,Cenozoic,19.0777777778,-102.031388889,33.400000000000006,14115,volcanic,volcanic,other,other
Magmatic sulfide,Precambrian,46.6511111111,-81.3777777778,1840.0,14297,felsic,felsic,felsic,felsic
Sediment-Hosted,Precambrian,-11.513835,27.440574,900.0,14351,other,other,metamorphic,metamorphic
VMS,Paleozoic,67.132777777778,16.077222222222,464.5,14413,carbonate,carbonate,metamorphic,metamorphic
Sediment-Hosted,Paleozoic,-11.0163888889,25.2261111111,381.0,14738,other,other,metamorphic,metamorphic
VMS,Paleozoic,37.573056,-7.970833,370.0,14752,carbonate,carbonate,volcanic,volcanic
VMS,Paleozoic,49.5980555556,-55.9411111111,500.0,14853,mafic,mafic,volcanic,volcanic
Porphyry,Precambrian,22.0166666667,80.7166666667,2468.5,15187,volcanic,volcanic,metamorphic,metamorphic
Porphyry,Cenozoic,6.0270953261096,116.65560699783,7.0,15213,carbonate,carbonate,felsic,felsic
Sediment-Hosted,Precambrian,-16.8794444444,30.15,1250.0,15217,volcanic,volcanic,metamorphic,metamorphic
VMS,Precambrian,49.8738888889,-90.9708333333,2735.0,15806,mafic,mafic,volcanic,volcanic
Magmatic sulfide,Unknown,62.0086,32.6768,,15930,volcanic,volcanic,felsic,felsic
Porphyry,Precambrian,48.5225,-81.1163888889,2475.0,15963,mafic,mafic,siliciclastic,siliciclastic
Sediment-Hosted,Paleozoic,-12.083470845877,26.426579394645,510.0,15998,volcanic,volcanic,metamorphic,metamorphic
Porphyry,Mesozoic,42.601169444444,24.187177777778,90.685,16033,metamorphic,metamorphic,other,other
Sediment-Hosted,Precambrian,-12.513055555556,27.854166666667,900.0,16144,volcanic,volcanic,metamorphic,metamorphic
Porphyry,Unknown,47.51152,-121.3498,,16242,felsic,felsic,felsic,felsic
Magmatic sulfide,Unknown,47.7083333333,-91.9416666667,,16397,felsic,felsic,felsic,felsic
Sediment-Hosted,Precambrian,-16.933055555556,30.15,2118.0,16404,volcanic,volcanic,metamorphic,metamorphic
Porphyry,Cenozoic,22.123619596776,95.03357505746,16.0,16510,other,other,other,other
Magmatic sulfide,Precambrian,46.5177777778,-81.0588888889,1785.0,16722,mafic,mafic,volcanic,volcanic
VMS,Paleozoic,47.5252777778,-66.4316666667,445.0,16723,mafic,mafic,volcanic,volcanic
VMS,Paleozoic,-31.25874246,146.8696319,510.0,16762,volcanic,volcanic,other,other
IOCG,Paleozoic,19.2366666667,109.043333333,525.0,17046,other,other,metamorphic,metamorphic
Sediment-Hosted,Precambrian,-13.4608742,24.9932957,900.0,17053,volcanic,volcanic,metamorphic,metamorphic
VMS,Precambrian,65.230748903939,18.88184022886,1950.0,17055,felsic,felsic,felsic,felsic
Sediment-Hosted,Unknown,-22.978311,17.077479,,17154,metamorphic,metamorphic,metamorphic,metamorphic
Porphyry,Cenozoic,-5.2080348283979,141.13899815844,1.15,17175,other,other,other,other
VMS,Paleozoic,33.5138888889,132.655555556,360.0,17373,other,other,volcanic,volcanic
VMS,Precambrian,54.962555555556,-99.728194444444,1800.0,17460,felsic,felsic,volcanic,volcanic
VMS,Mesozoic,15.55,-89.7166666667,100.0,17539,other,other,mafic,mafic
VMS,Paleozoic,-35.062222222222,149.57027777778,430.0,17692,felsic,felsic,volcanic,volcanic
Porphyry,Cenozoic,48.1975,-120.978888889,21.0,17816,felsic,felsic,felsic,felsic
Porphyry,Unknown,47.4966666667,-121.36,,18255,felsic,felsic,felsic,felsic
Porphyry,Cenozoic,48.0086111111,-121.503611111,28.0,18270,volcanic,volcanic,siliciclastic,siliciclastic
Magmatic sulfide,Precambrian,-21.9469444444,27.8552777778,2600.0,18379,volcanic,volcanic,metamorphic,metamorphic
Porphyry,Mesozoic,30.3333333333,-109.633333333,92.5,18441,felsic,felsic,volcanic,volcanic
VMS,Precambrian,64.8256136963,20.2283273935,1520.5,18571,felsic,felsic,volcanic,volcanic
VMS,Precambrian,65.375332040886,18.641685962502,1520.5,18578,felsic,felsic,metamorphic,metamorphic
VMS,Precambrian,64.9232070708,20.0928840623,1520.5,18580,felsic,felsic,volcanic,volcanic
VMS,Precambrian,64.9391649158,20.0698227881,1520.5,18581,felsic,felsic,volcanic,volcanic
VMS,Precambrian,64.922144814,20.2669007776,1950.0,18583,felsic,felsic,volcanic,volcanic
VMS,Paleozoic,48.462462,-3.6091719999999,400.0,18672,carbonate,carbonate,other,other
VMS,Paleozoic,51.6333333333,81.75,388.0,18705,other,other,other,other
VMS,Mesozoic,35.097000904691,32.890835189352,100.0,18790,mafic,mafic,felsic,felsic
IOCG,Unknown,63.7583,-116.9167,,18837,felsic,felsic,felsic,felsic
VMS,Precambrian,-28.408309962785,121.14965749495,2690.0,18839,felsic,felsic,volcanic,volcanic
Magmatic sulfide,Unknown,-17.06367713504,31.655559539795,,18963,metamorphic,metamorphic,metamorphic,metamorphic
