source,seed,topic,rank,trimmed_family,full_family,same_at_rank
Macrostrat,7,1,9,Other_silicates,Other_silicates,True
Macrostrat,7,1,10,Micas_sericite,Micas_sericite,True
Macrostrat,7,2,1,Cu_sulfides_supergene,Cu_carbonates_silicates,False
Macrostrat,7,2,2,Cu_carbonates_silicates,Fe_sulfides,False
Macrostrat,7,2,3,Native_elements_misc,Cu_sulfides_primary,False
Macrostrat,7,2,4,Cu_oxides,Cu_sulfides_supergene,False
Macrostrat,7,2,5,Halides_other,Fe_oxides_hydroxides,False
Macrostrat,7,2,6,Carbonates,Halides_other,False
Macrostrat,7,2,7,Quartz,Carbonates,False
Macrostrat,7,2,8,Cu_sulfides_other,Cu_oxides,False
Macrostrat,7,2,9,Other_silicates,Other_silicates,True
Macrostrat,7,2,10,Cu_sulfides_primary,Quartz,False
Macrostrat,7,3,1,Fe_sulfides,Fe_sulfides,True
Macrostrat,7,3,2,Cu_sulfides_primary,Cu_sulfides_primary,True
Macrostrat,7,3,3,Micas_sericite,Micas_sericite,True
Macrostrat,7,3,4,Mo_sulfides,Mo_sulfides,True
Macrostrat,7,3,5,Fe_oxides_hydroxides,Fe_oxides_hydroxides,True
Macrostrat,7,3,6,Cu_sulfides_supergene,Cu_sulfides_supergene,True
Macrostrat,7,3,7,Skarn_calc_silicates,Skarn_calc_silicates,True
Macrostrat,7,3,8,Zn_sulfides,Zn_sulfides,True
Macrostrat,7,3,9,Other_silicates,Other_silicates,True
Macrostrat,7,3,10,Cu_carbonates_silicates,Pb_sulfides,False
Macrostrat,7,4,1,As_Sb_Bi_sulfosalts,Native_elements_misc,False
Macrostrat,7,4,2,Fe_sulfides,Other_silicates,False
Macrostrat,7,4,3,Other_silicates,Quartz,False
Macrostrat,7,4,4,Skarn_calc_silicates,Cu_sulfides_other,False
Macrostrat,7,4,5,Ni_Co_sulfides_arsenides,Au_Ag_native,False
Macrostrat,7,4,6,Native_elements_misc,Carbonates,False
Macrostrat,7,4,7,Au_Ag_native,Ni_Co_sulfides_arsenides,False
Macrostrat,7,4,8,PGE_alloys_intermetallics,Cu_sulfides_supergene,False
Macrostrat,7,4,9,Ti_oxides,Cu_sulfides_primary,False
Macrostrat,7,4,10,Oxides_misc,Pb_sulfides,False
Macrostrat,7,5,1,Cu_sulfides_primary,Cu_sulfides_primary,True
Macrostrat,7,5,2,Halides_fluorite,Fe_sulfides,False
Macrostrat,7,5,3,Fe_sulfides,Zn_sulfides,False
Macrostrat,7,5,4,Skarn_calc_silicates,Cu_sulfides_other,False
Macrostrat,7,5,5,Evaporite_sulfates,Au_Ag_native,False
Macrostrat,7,5,6,Feldspars,Sulfates_other,False
Macrostrat,7,5,7,Mo_sulfides,Evaporite_sulfates,False
Macrostrat,7,5,8,Carbonates,Clay_minerals,False
Macrostrat,7,5,9,Ti_oxides,Cu_sulfides_supergene,False
Macrostrat,7,5,10,Micas_sericite,Native_elements_misc,False
Macrostrat,7,6,1,Barite,Barite,True
Macrostrat,7,6,2,Zn_sulfides,Fe_sulfides,False
Macrostrat,7,6,3,Pb_sulfides,Zn_sulfides,False
Macrostrat,7,6,4,Fe_sulfides,As_Sb_Bi_sulfosalts,False
Macrostrat,7,6,5,Sulfates_other,Cu_sulfides_other,False
Macrostrat,7,6,6,Quartz,Sulfides_misc,False
Macrostrat,7,6,7,Micas_sericite,Micas_sericite,True
Macrostrat,7,6,8,Sulfides_misc,Pb_sulfides,False
Macrostrat,7,6,9,Other_silicates,Au_Ag_native,False
Macrostrat,7,6,10,Cu_sulfides_other,Ni_Co_sulfides_arsenides,False
Macrostrat,7,7,1,Halides_fluorite,Mo_sulfides,False
Macrostrat,7,7,2,Cu_sulfides_other,Fe_sulfides,False
Macrostrat,7,7,3,Ti_oxides,Phosphates_apatite,False
Macrostrat,7,7,4,Fe_sulfides,Halides_fluorite,False
Macrostrat,7,7,5,Skarn_calc_silicates,Native_elements_misc,False
Macrostrat,7,7,6,Mo_sulfides,Zn_sulfides,False
Macrostrat,7,7,7,Carbonates,Cu_sulfides_primary,False
Macrostrat,7,7,8,As_Sb_Bi_sulfosalts,Au_Ag_native,False
Macrostrat,7,7,9,Quartz,Oxides_misc,False
Macrostrat,7,7,10,Native_elements_misc,Sulfates_other,False
GLiM,42,1,1,Fe_sulfides,Fe_sulfides,True
GLiM,42,1,2,Cu_sulfides_primary,Cu_sulfides_primary,True
GLiM,42,1,3,Zn_sulfides,Zn_sulfides,True
GLiM,42,1,4,Fe_oxides_hydroxides,Fe_oxides_hydroxides,True
GLiM,42,1,5,Other_silicates,Other_silicates,True
GLiM,42,1,6,Pb_sulfides,Pb_sulfides,True
GLiM,42,1,7,Quartz,Ni_Co_sulfides_arsenides,False
GLiM,42,1,8,Ni_Co_sulfides_arsenides,Quartz,False
GLiM,42,1,9,Carbonates,Carbonates,True
GLiM,42,1,10,Micas_sericite,Micas_sericite,True
GLiM,42,2,1,Quartz,Quartz,True
GLiM,42,2,2,Cu_sulfides_supergene,Cu_sulfides_supergene,True
GLiM,42,2,3,Carbonates,Carbonates,True
