Mindat_id,Deposit_type,age_category,Macrostrat_model_lithology,GLiM_model_lithology,mapped_species_count,present_family_count,Mindat_id,documentation_rank_within_type,documentation_percentile_within_type,remove_top_documented
17046,IOCG,Paleozoic,other,metamorphic,48,19.0,17046,7,0.08536585365853659,True
17053,Sediment-Hosted,Precambrian,volcanic,metamorphic,12,9.0,17053,71,0.5144927536231884,False
17055,VMS,Precambrian,felsic,felsic,48,19.0,17055,16,0.0469208211143695,True
171,IOCG,Unknown,felsic,other,51,26.0,171,5,0.06097560975609756,True
171360,VMS,Cenozoic,volcanic,volcanic,19,13.0,171360,125,0.36656891495601174,False
17154,Sediment-Hosted,Unknown,metamorphic,metamorphic,12,8.0,17154,74,0.5362318840579711,False
17175,Porphyry,Cenozoic,other,other,32,19.0,17175,95,0.15966386554621848,False
1728,VMS,Paleozoic,felsic,volcanic,116,30.0,1728,1,0.002932551319648094,True
17373,VMS,Paleozoic,other,volcanic,9,7.0,17373,242,0.7096774193548387,False
17460,VMS,Precambrian,felsic,volcanic,23,13.0,17460,93,0.2727272727272727,False
17539,VMS,Mesozoic,other,mafic,15,12.0,17539,165,0.4838709677419355,False
175692,VMS,Paleozoic,felsic,other,48,19.0,175692,17,0.04985337243401759,True
17692,VMS,Paleozoic,felsic,volcanic,34,21.0,17692,38,0.11143695014662756,False
17816,Porphyry,Cenozoic,felsic,felsic,28,20.0,17816,122,0.20504201680672268,False
18255,Porphyry,Unknown,felsic,felsic,22,15.0,18255,190,0.31932773109243695,False
18270,Porphyry,Cenozoic,volcanic,siliciclastic,23,18.0,18270,173,0.2907563025210084,False
183025,Porphyry,Cenozoic,felsic,other,15,11.0,183025,318,0.534453781512605,False
183459,Porphyry,Cenozoic,felsic,siliciclastic,9,7.0,183459,460,0.773109243697479,False
18379,Magmatic sulfide,Precambrian,volcanic,metamorphic,17,9.0,18379,46,0.5679012345679012,False
18441,Porphyry,Mesozoic,felsic,volcanic,18,13.0,18441,251,0.4218487394957983,False
185349,Sediment-Hosted,Precambrian,other,metamorphic,4,4.0,185349,116,0.8405797101449275,False
185556,Porphyry,Cenozoic,other,other,32,18.0,185556,98,0.16470588235294117,False
185558,Porphyry,Cenozoic,other,other,15,12.0,185558,312,0.5243697478991597,False
18571,VMS,Precambrian,felsic,volcanic,16,12.0,18571,154,0.45161290322580644,False
185726,VMS,Paleozoic,felsic,metamorphic,37,20.0,185726,29,0.08504398826979472,True
185761,Magmatic sulfide,Unknown,other,other,32,20.0,185761,24,0.2962962962962963,False
185767,Magmatic sulfide,Unknown,other,other,17,9.0,185767,48,0.5925925925925926,False
18578,VMS,Precambrian,felsic,metamorphic,10,6.0,18578,232,0.6803519061583577,False
185781,Sediment-Hosted,Cenozoic,other,other,10,8.0,185781,81,0.5869565217391305,False
18580,VMS,Precambrian,felsic,volcanic,10,9.0,18580,224,0.656891495601173,False
18581,VMS,Precambrian,felsic,volcanic,15,12.0,18581,166,0.4868035190615836,False
18583,VMS,Precambrian,felsic,volcanic,28,17.0,18583,60,0.17595307917888564,False
185841,VMS,Paleozoic,mafic,volcanic,36,20.0,185841,32,0.093841642228739,True
186441,VMS,Mesozoic,other,carbonate,17,12.0,186441,152,0.44574780058651026,False
18672,VMS,Paleozoic,carbonate,other,25,13.0,18672,80,0.23460410557184752,False
186761,VMS,Paleozoic,metamorphic,siliciclastic,8,6.0,186761,260,0.7624633431085044,False
186817,VMS,Precambrian,felsic,mafic,8,5.0,186817,262,0.7683284457478006,False
186819,VMS,Precambrian,volcanic,volcanic,6,5.0,186819,291,0.8533724340175953,False
186820,VMS,Precambrian,volcanic,volcanic,7,6.0,186820,269,0.7888563049853372,False
186826,VMS,Precambrian,volcanic,volcanic,6,5.0,186826,292,0.8563049853372434,False
186827,VMS,Precambrian,volcanic,volcanic,7,6.0,186827,270,0.7917888563049853,False
