Mindat_id,Deposit_type,age_category,Latitude,Longitude,age_midpoint_ma,Macrostrat_raw_lithology,Macrostrat_model_lithology,GLiM_raw_lithology,GLiM_model_lithology
14738,Sediment-Hosted,Paleozoic,-11.0163888889,25.2261111111,381.0,other,other,metamorphic,metamorphic
14853,VMS,Paleozoic,49.5980555556,-55.9411111111,500.0,mafic,mafic,volcanic,volcanic
15213,Porphyry,Cenozoic,6.0270953261096,116.65560699783,7.0,carbonate,carbonate,felsic,felsic
15217,Sediment-Hosted,Precambrian,-16.8794444444,30.15,1250.0,volcanic,volcanic,metamorphic,metamorphic
15806,VMS,Precambrian,49.8738888889,-90.9708333333,2735.0,mafic,mafic,volcanic,volcanic
15930,Magmatic sulfide,Unknown,62.0086,32.6768,,volcanic,volcanic,felsic,felsic
15963,Porphyry,Precambrian,48.5225,-81.1163888889,2475.0,mafic,mafic,siliciclastic,siliciclastic
16033,Porphyry,Mesozoic,42.601169444444,24.187177777778,90.685,metamorphic,metamorphic,other,other
16144,Sediment-Hosted,Precambrian,-12.513055555556,27.854166666667,900.0,volcanic,volcanic,metamorphic,metamorphic
16397,Magmatic sulfide,Unknown,47.7083333333,-91.9416666667,,felsic,felsic,felsic,felsic
16404,Sediment-Hosted,Precambrian,-16.933055555556,30.15,2118.0,volcanic,volcanic,metamorphic,metamorphic
16510,Porphyry,Cenozoic,22.123619596776,95.03357505746,16.0,other,other,other,other
16722,Magmatic sulfide,Precambrian,46.5177777778,-81.0588888889,1785.0,mafic,mafic,volcanic,volcanic
16723,VMS,Paleozoic,47.5252777778,-66.4316666667,445.0,mafic,mafic,volcanic,volcanic
16762,VMS,Paleozoic,-31.25874246,146.8696319,510.0,volcanic,volcanic,other,other
17053,Sediment-Hosted,Precambrian,-13.4608742,24.9932957,900.0,volcanic,volcanic,metamorphic,metamorphic
17154,Sediment-Hosted,Unknown,-22.978311,17.077479,,metamorphic,metamorphic,metamorphic,metamorphic
17175,Porphyry,Cenozoic,-5.2080348283979,141.13899815844,1.15,other,other,other,other
17373,VMS,Paleozoic,33.5138888889,132.655555556,360.0,other,other,volcanic,volcanic
17460,VMS,Precambrian,54.962555555556,-99.728194444444,1800.0,felsic,felsic,volcanic,volcanic
17539,VMS,Mesozoic,15.55,-89.7166666667,100.0,other,other,mafic,mafic
17692,VMS,Paleozoic,-35.062222222222,149.57027777778,430.0,felsic,felsic,volcanic,volcanic
17816,Porphyry,Cenozoic,48.1975,-120.978888889,21.0,felsic,felsic,felsic,felsic
18255,Porphyry,Unknown,47.4966666667,-121.36,,felsic,felsic,felsic,felsic
18270,Porphyry,Cenozoic,48.0086111111,-121.503611111,28.0,volcanic,volcanic,siliciclastic,siliciclastic
18379,Magmatic sulfide,Precambrian,-21.9469444444,27.8552777778,2600.0,volcanic,volcanic,metamorphic,metamorphic
18441,Porphyry,Mesozoic,30.3333333333,-109.633333333,92.5,felsic,felsic,volcanic,volcanic
18571,VMS,Precambrian,64.8256136963,20.2283273935,1520.5,felsic,felsic,volcanic,volcanic
18578,VMS,Precambrian,65.375332040886,18.641685962502,1520.5,felsic,felsic,metamorphic,metamorphic
18580,VMS,Precambrian,64.9232070708,20.0928840623,1520.5,felsic,felsic,volcanic,volcanic
18581,VMS,Precambrian,64.9391649158,20.0698227881,1520.5,felsic,felsic,volcanic,volcanic
18583,VMS,Precambrian,64.922144814,20.2669007776,1950.0,felsic,felsic,volcanic,volcanic
18672,VMS,Paleozoic,48.462462,-3.6091719999999,400.0,carbonate,carbonate,other,other
18705,VMS,Paleozoic,51.6333333333,81.75,388.0,other,other,other,other
18790,VMS,Mesozoic,35.097000904691,32.890835189352,100.0,mafic,mafic,felsic,felsic
18837,IOCG,Unknown,63.7583,-116.9167,,felsic,felsic,felsic,felsic
18963,Magmatic sulfide,Unknown,-17.06367713504,31.655559539795,,metamorphic,metamorphic,metamorphic,metamorphic
19036,Sediment-Hosted,Precambrian,0.20487741679014,30.002605319023,2000.0,volcanic,volcanic,evaporite,other
19062,IOCG,Unknown,-20.9522349734,140.980773926,,carbonate,carbonate,other,other
19089,Sediment-Hosted,Precambrian,-32.1075,138.77,630.0,carbonate,carbonate,other,other
19265,VMS,Paleozoic,-41.588229072894,145.71030842773,502.0,felsic,felsic,volcanic,volcanic
19493,VMS,Paleozoic,45.229721069336,-116.66889190674,280.0,felsic,felsic,metamorphic,metamorphic
19949,Porphyry,Cenozoic,50.9238888889,-121.421111111,61.0,volcanic,volcanic,metamorphic,metamorphic
19966,VMS,Precambrian,56.475,-99.6372222222,1800.0,felsic,felsic,felsic,felsic
19975,VMS,Precambrian,23.851570017734,40.939985211657,800.0,other,other,metamorphic,metamorphic
20269,VMS,Paleozoic,48.291666666667,86.333333333333,371.0,other,other,carbonate,carbonate
21099,Porphyry,Mesozoic,39.04741,-119.2407,161.0,felsic,felsic,felsic,felsic
21132,Magmatic sulfide,Unknown,41.1666666667,117.383333333,,metamorphic,metamorphic,metamorphic,metamorphic
21538,Porphyry,Cenozoic,16.2627777778,120.6225,1.25,other,other,other,other
21603,VMS,Paleozoic,33.9038888889,133.541666667,360.0,other,other,metamorphic,metamorphic
21605,VMS,Precambrian,54.719166666667,-101.82527777778,1800.0,volcanic,volcanic,volcanic,volcanic
21638,Magmatic sulfide,Precambrian,-19.776944444444,29.365833333333,2705.0,volcanic,volcanic,metamorphic,metamorphic
22091,Magmatic sulfide,Unknown,22.75,33.6,,volcanic,volcanic,metamorphic,metamorphic
22183,Porphyry,Mesozoic,48.9947222222,-119.477777778,173.55,felsic,felsic,felsic,felsic
22204,Porphyry,Mesozoic,48.6144444444,-120.381944444,88.5,felsic,felsic,volcanic,volcanic
22531,Sediment-Hosted,Mesozoic,38.3108333333,-108.948888889,220.0,siliciclastic,siliciclastic,siliciclastic,siliciclastic
22701,Sediment-Hosted,Unknown,34.5166666667,-99.55,,other,other,other,other
22945,Porphyry,Cenozoic,31.8708333333,-111.133333333,62.5,volcanic,volcanic,siliciclastic,siliciclastic
22987,VMS,Mesozoic,-54.829694444444,-68.395836111111,170.0,metamorphic,metamorphic,other,other
23128,VMS,Paleozoic,64.626159,13.102498,470.0,metamorphic,metamorphic,metamorphic,metamorphic
23197,VMS,Paleozoic,37.638611111111,-6.8569444444444,320.0,volcanic,volcanic,volcanic,volcanic
23365,VMS,Precambrian,54.856080555556,-99.941711111111,1800.0,mafic,mafic,volcanic,volcanic
23547,VMS,Mesozoic,41.36028851,44.44438468,86.0,carbonate,carbonate,volcanic,volcanic
24511,Sediment-Hosted,Unknown,-12.5419553,27.8545867,,volcanic,volcanic,metamorphic,metamorphic
25286,Sediment-Hosted,Unknown,29.75589558947,34.989183355439,,carbonate,carbonate,other,other
25293,Sediment-Hosted,Paleozoic,34.81733,-97.24153,260.0,siliciclastic,siliciclastic,siliciclastic,siliciclastic
