Mindat_id,n_minerals_total,n_minerals_mapped,n_families_primary,n_families_copper,pct_mapped
191829.0,13,13,7,11,100.0
191830.0,10,10,5,8,100.0
191851.0,17,17,4,12,100.0
191957.0,28,28,8,20,100.0
191961.0,8,8,5,7,100.0
191971.0,24,24,8,17,100.0
191972.0,37,37,7,22,100.0
191973.0,20,20,6,14,100.0
192016.0,4,4,1,3,100.0
192017.0,11,11,4,9,100.0
192018.0,5,5,1,4,100.0
192115.0,13,13,5,11,100.0
192116.0,15,15,5,10,100.0
192120.0,15,15,5,13,100.0
192198.0,11,11,4,9,100.0
192407.0,16,16,5,11,100.0
192786.0,11,11,3,5,100.0
192788.0,11,11,3,5,100.0
193448.0,10,10,4,6,100.0
193482.0,24,24,6,17,100.0
193486.0,8,8,3,7,100.0
193982.0,29,29,6,15,100.0
194033.0,12,12,4,9,100.0
194041.0,18,18,5,15,100.0
194046.0,22,22,6,14,100.0
194178.0,3,3,1,3,100.0
194183.0,32,32,6,14,100.0
194553.0,48,48,8,23,100.0
194599.0,14,14,5,10,100.0
194690.0,7,7,4,6,100.0
194728.0,41,41,8,21,100.0
194773.0,28,28,5,17,100.0
195124.0,29,29,7,17,100.0
195133.0,18,18,6,14,100.0
195134.0,24,24,6,15,100.0
195346.0,7,7,3,6,100.0
195350.0,13,13,4,10,100.0
195374.0,12,12,5,11,100.0
195392.0,18,18,5,14,100.0
195437.0,6,6,3,5,100.0
195439.0,3,3,2,3,100.0
195445.0,9,9,4,8,100.0
195447.0,6,6,4,6,100.0
195450.0,2,2,2,2,100.0
195451.0,3,3,1,3,100.0
195453.0,5,5,2,4,100.0
195454.0,4,4,3,4,100.0
195460.0,18,18,6,15,100.0
195554.0,6,6,3,6,100.0
195671.0,33,33,7,21,100.0
195712.0,13,13,6,13,100.0
195732.0,15,15,7,13,100.0
195768.0,21,21,8,15,100.0
195846.0,11,11,5,10,100.0
196016.0,13,13,5,11,100.0
196312.0,13,13,5,11,100.0
196390.0,7,7,3,7,100.0
196445.0,15,15,6,14,100.0
196547.0,9,9,4,8,100.0
196592.0,20,20,4,10,100.0
196596.0,10,10,5,10,100.0
196701.0,4,4,3,3,100.0
197027.0,9,9,2,7,100.0
197159.0,12,12,7,11,100.0
197726.0,1,1,1,1,100.0
198217.0,8,8,3,7,100.0
198360.0,11,11,4,9,100.0
198517.0,6,6,3,6,100.0
198681.0,3,3,3,3,100.0
198741.0,11,11,5,10,100.0
199212.0,15,15,6,12,100.0
199265.0,12,12,5,10,100.0
199343.0,21,21,7,17,100.0
199407.0,4,4,2,4,100.0
199526.0,17,17,5,14,100.0
199695.0,7,7,3,6,100.0
199759.0,24,24,6,16,100.0
199951.0,3,3,2,3,100.0
200220.0,15,15,5,11,100.0
200298.0,25,25,8,18,100.0
200678.0,1,1,1,1,100.0
202837.0,2,2,2,2,100.0
203361.0,6,6,3,6,100.0
203368.0,4,4,3,4,100.0
203397.0,23,23,6,15,100.0
203635.0,116,116,10,30,100.0
203657.0,6,6,4,5,100.0
203668.0,7,7,2,6,100.0
203671.0,6,6,2,5,100.0
203679.0,14,14,6,12,100.0
203680.0,26,26,7,19,100.0
203681.0,13,13,4,10,100.0
203694.0,1,1,1,1,100.0
203737.0,23,23,6,17,100.0
203740.0,17,17,5,14,100.0
203795.0,28,28,7,15,100.0
204066.0,26,26,7,17,100.0
204443.0,6,6,2,6,100.0
204650.0,9,9,3,7,100.0
204651.0,22,22,5,15,100.0
204813.0,35,35,7,17,100.0
204899.0,1,1,1,1,100.0
204902.0,2,2,2,2,100.0
204906.0,2,2,2,2,100.0
204909.0,2,2,1,2,100.0
204913.0,1,1,1,1,100.0
204915.0,1,1,1,1,100.0
204918.0,1,1,1,1,100.0
204920.0,1,1,1,1,100.0
204923.0,1,1,1,1,100.0
204925.0,1,1,1,1,100.0
204926.0,4,4,3,4,100.0
204927.0,10,10,3,7,100.0
204928.0,1,1,1,1,100.0
204930.0,20,20,6,11,100.0
204933.0,1,1,1,1,100.0
204934.0,1,1,1,1,100.0
204935.0,1,1,1,1,100.0
204941.0,7,7,3,6,100.0
204943.0,1,1,1,1,100.0
204946.0,1,1,1,1,100.0
204949.0,10,10,5,10,100.0
205026.0,35,35,7,21,100.0
205327.0,10,10,4,9,100.0
205328.0,9,9,5,7,100.0
205423.0,6,6,3,5,100.0
205449.0,25,25,5,15,100.0
205483.0,30,30,6,14,100.0
205613.0,2,2,1,2,100.0
205614.0,2,2,1,2,100.0
205615.0,10,10,3,9,100.0
205740.0,7,7,3,6,100.0
205741.0,8,8,2,7,100.0
205742.0,12,12,4,9,100.0
205743.0,9,9,3,7,100.0
205745.0,8,8,3,7,100.0
205747.0,27,27,6,18,100.0
205749.0,26,26,6,19,100.0
205750.0,11,11,4,8,100.0
205756.0,8,8,3,8,100.0
205760.0,28,28,7,18,100.0
205761.0,23,23,5,19,100.0
205763.0,6,6,3,6,100.0
205764.0,10,10,3,8,100.0
205766.0,13,13,5,11,100.0
205767.0,26,26,7,19,100.0
205768.0,27,27,6,18,100.0
205769.0,21,21,5,16,100.0
205772.0,3,3,2,3,100.0
205773.0,14,14,5,10,100.0
205784.0,3,3,1,3,100.0
205785.0,3,3,2,3,100.0
205792.0,15,15,4,11,100.0
205795.0,18,18,7,13,100.0
205796.0,29,29,7,21,100.0
205797.0,23,23,7,18,100.0
205798.0,24,24,8,19,100.0
205799.0,13,13,5,11,100.0
205844.0,13,13,4,10,100.0
205845.0,3,3,2,3,100.0
205846.0,10,10,3,9,100.0
205847.0,22,22,6,14,100.0
205849.0,19,19,6,12,100.0
205854.0,35,35,7,22,100.0
205857.0,21,21,7,14,100.0
205858.0,18,18,6,12,100.0
205859.0,17,17,5,14,100.0
205860.0,7,7,4,7,100.0
205861.0,6,6,4,6,100.0
205862.0,21,21,6,13,100.0
205864.0,7,7,3,6,100.0
205922.0,2,2,1,2,100.0
205923.0,9,9,5,9,100.0
205926.0,10,10,5,8,100.0
205927.0,17,17,6,12,100.0
205928.0,5,5,3,4,100.0
205929.0,10,10,3,8,100.0
205930.0,10,10,5,9,100.0
205931.0,2,2,1,2,100.0
205932.0,4,4,2,4,100.0
205933.0,4,4,2,4,100.0
205935.0,8,8,3,6,100.0
