mineral_raw,mineral_base,key,count,family_primary,family_copper,tags
Sternbergite,Sternbergite,sternbergite,5,Sulfides_and_analogues,Sulfides_misc,Ag_bearing
Renierite,Renierite,renierite,5,Sulfosalts,Cu_sulfides_other,Cu_bearing
Zvyagintsevite,Zvyagintsevite,zvyagintsevite,5,Native_elements,PGE_alloys_intermetallics,
Celadonite,Celadonite,celadonite,5,Silicates,Other_silicates,
Fornacite,Fornacite,fornacite,5,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Kröhnkite,Kröhnkite,kröhnkite,5,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Osarizawaite,Osarizawaite,osarizawaite,5,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Cuprosklodowskite,Cuprosklodowskite,cuprosklodowskite,5,Silicates,Other_silicates,Cu_bearing;U_Th_indicator
Ilvaite,Ilvaite,ilvaite,5,Silicates,Other_silicates,
Caledonite,Caledonite,caledonite,5,Carbonates_nitrates,Cu_carbonates_silicates,Cu_bearing
Gunningite,Gunningite,gunningite,5,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Isomertieite,Isomertieite,isomertieite,5,Sulfides_and_analogues,Ni_Co_sulfides_arsenides,
Kasolite,Kasolite,kasolite,5,Silicates,Other_silicates,U_Th_indicator
Stellerite,Stellerite,stellerite,5,Silicates,Other_silicates,
Lavendulan,Lavendulan,lavendulan,5,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Lindgrenite,Lindgrenite,lindgrenite,5,Oxides_hydroxides,Cu_oxides,Cu_bearing;Mo_bearing
Magnesio-hastingsite,Magnesio-hastingsite,magnesio-hastingsite,5,Silicates,Other_silicates,
Claringbullite,Claringbullite,claringbullite,5,Halides,Halides_fluorite,Cu_bearing
Cornwallite,Cornwallite,cornwallite,5,Sulfates_chromates_molybdates_tungstates,Sulfates_other,Cu_bearing
Scolecite,Scolecite,scolecite,5,Silicates,Other_silicates,
Hydroxyapophyllite-(K),Hydroxyapophyllite,hydroxyapophyllite,5,Halides,Halides_fluorite,
Pharmacosiderite,Pharmacosiderite,pharmacosiderite,5,Sulfates_chromates_molybdates_tungstates,Sulfates_other,
Stilbite-Ca,Stilbite-Ca,stilbite-ca,5,Silicates,Other_silicates,
Vermiculite,Vermiculite,vermiculite,5,Silicates,Other_silicates,
