Mindat_id,Borates,Carbonates_nitrates,Halides,Native_elements,Other_unknown,Oxides_hydroxides,Phosphates_arsenates_vanadates,Silicates,Sulfates_chromates_molybdates_tungstates,Sulfides_and_analogues,Sulfosalts
62248.0,0,4,0,3,0,6,0,6,1,17,17
62514.0,0,2,0,0,0,3,0,5,1,4,0
63180.0,0,2,0,0,0,0,1,2,0,4,0
63563.0,0,4,3,2,0,3,0,3,5,10,2
64183.0,0,3,1,2,0,5,0,16,4,12,1
64292.0,0,5,0,3,0,4,0,7,3,16,7
64347.0,0,1,0,0,0,1,0,5,0,4,0
64578.0,0,0,0,1,0,0,0,2,1,3,0
64759.0,0,4,1,0,0,3,0,15,2,9,0
65223.0,0,2,0,1,0,2,0,1,3,4,0
65283.0,0,0,0,2,0,5,0,5,0,9,2
65285.0,0,5,1,2,0,5,0,3,6,6,2
66391.0,0,2,0,1,0,0,0,0,0,7,0
66858.0,0,1,0,1,0,3,0,2,5,6,0
66898.0,0,0,0,0,0,0,0,0,0,4,0
68115.0,0,3,0,0,0,1,0,4,2,6,0
68188.0,0,4,1,1,0,2,0,2,0,1,0
68257.0,0,0,3,1,0,5,1,7,5,15,6
68700.0,0,1,1,2,0,1,0,3,1,6,0
69552.0,0,3,0,0,0,2,0,4,0,6,0
71511.0,0,0,0,0,0,0,0,0,0,3,0
73136.0,0,0,0,0,0,0,0,0,1,2,0
73233.0,0,3,2,0,0,4,0,23,4,12,3
73255.0,0,1,2,1,0,1,0,6,1,8,6
75449.0,0,0,0,0,0,0,0,1,0,2,0
81928.0,0,0,0,0,0,0,0,2,1,4,0
84746.0,0,0,0,0,0,0,0,1,0,6,0
85223.0,0,0,0,1,0,0,0,0,0,2,0
86332.0,0,4,0,2,0,3,0,12,1,9,3
92443.0,0,2,0,2,0,0,0,2,1,6,0
92495.0,0,2,0,3,0,0,0,0,4,7,0
93923.0,0,2,0,1,0,0,0,1,0,6,0
98618.0,0,0,0,0,0,0,0,1,0,3,0
105730.0,0,0,0,1,0,0,0,0,1,1,0
105775.0,0,1,0,0,0,0,0,1,0,1,0
107252.0,0,7,1,1,0,5,1,6,6,9,1
107981.0,0,0,0,1,0,1,0,0,1,0,0
108083.0,0,0,0,0,0,0,0,0,1,5,0
108163.0,0,4,1,3,0,1,0,2,2,14,7
108197.0,0,0,1,0,0,3,3,6,6,5,0
108673.0,0,0,0,2,0,0,0,0,0,0,0
109677.0,0,5,0,2,0,3,0,5,0,10,3
109688.0,0,0,0,0,0,1,0,3,0,5,0
114858.0,0,3,1,1,0,3,1,5,0,8,2
122228.0,0,3,0,1,0,7,0,6,5,9,0
122266.0,0,6,2,3,0,3,0,5,4,8,6
122759.0,0,3,1,0,0,2,0,13,0,8,2
122767.0,0,2,1,1,0,5,0,8,1,10,2
122804.0,0,3,1,1,0,6,0,8,4,10,1
122928.0,0,3,0,2,0,7,0,10,1,12,11
122945.0,0,0,0,0,0,2,0,3,0,5,0
122949.0,0,2,0,0,0,4,0,4,0,8,1
122950.0,0,2,0,1,0,1,0,7,0,6,0
122951.0,0,2,0,0,0,1,0,3,0,4,0
123105.0,0,0,0,1,0,0,1,1,0,5,0
123423.0,0,0,0,0,0,0,0,1,0,16,2
123464.0,0,2,2,3,0,4,0,16,1,11,3
123470.0,0,8,2,3,0,9,2,13,1,17,3
124002.0,0,2,0,0,0,0,0,1,0,5,0
125608.0,0,0,0,0,0,0,0,0,0,7,0
126508.0,0,1,0,2,0,3,0,0,0,8,1
126948.0,0,1,0,1,0,1,0,1,0,0,0
127294.0,0,6,1,2,0,4,5,8,9,5,3
127444.0,0,2,1,1,0,5,0,5,1,8,1
131133.0,0,2,0,1,0,2,0,3,2,10,1
131315.0,0,1,0,1,0,0,0,3,2,8,0
131316.0,0,4,0,1,0,2,0,7,4,12,1
132210.0,0,0,0,0,0,1,0,2,0,4,0
132305.0,0,2,0,1,0,1,0,0,0,1,0
132814.0,0,0,0,0,0,0,0,4,0,2,0
133117.0,0,1,1,0,0,1,0,7,3,3,0
134565.0,0,2,0,0,0,4,0,4,0,8,0
134575.0,0,5,1,0,0,4,0,8,3,8,1
134576.0,0,5,1,3,0,4,0,25,4,15,16
134599.0,0,1,0,2,0,3,0,11,0,11,5
134605.0,0,4,0,2,0,4,0,4,0,7,2
134676.0,0,4,1,1,0,6,1,10,3,11,2
134745.0,0,5,0,1,0,3,0,6,2,5,0
134936.0,0,8,3,3,0,7,0,16,6,12,11
135092.0,0,2,0,1,0,1,0,0,1,4,0
135234.0,0,0,0,0,0,0,0,0,0,6,0
135235.0,0,4,1,1,0,7,0,5,2,8,0
135237.0,0,0,1,1,0,5,0,11,5,20,3
135298.0,0,5,1,3,0,9,0,8,1,13,1
135329.0,0,2,1,1,0,4,0,4,1,8,0
136123.0,0,0,0,0,0,0,0,0,0,4,0
142172.0,0,4,0,0,0,2,0,3,1,8,0
142173.0,0,3,1,1,0,2,0,7,1,6,0
142174.0,0,0,0,0,0,2,0,2,0,6,0
142175.0,0,0,0,0,0,0,0,0,0,2,0
142183.0,0,0,0,1,0,2,0,3,0,7,0
142185.0,0,2,0,2,0,1,0,7,2,7,1
142186.0,0,0,0,0,0,0,0,1,0,2,0
142187.0,0,0,0,0,0,0,0,0,0,2,0
142189.0,0,1,0,0,0,1,0,2,0,6,0
142195.0,0,0,0,0,0,2,0,2,0,8,1
142196.0,0,0,0,0,0,0,0,0,0,2,0
142198.0,0,0,0,0,0,0,0,0,0,2,0
142686.0,0,2,0,0,0,1,0,7,0,8,0
142687.0,0,3,0,1,0,3,0,11,3,11,1
142688.0,0,2,0,0,0,1,0,5,0,6,0
142689.0,0,1,0,0,0,2,0,6,0,3,0
142690.0,0,1,0,0,0,0,0,6,1,5,0
142691.0,0,0,2,1,0,1,0,2,4,5,0
142692.0,0,3,0,1,0,4,1,14,2,10,0
142695.0,0,2,1,1,0,2,0,7,2,9,0
142696.0,0,4,0,0,0,5,2,10,1,9,1
142697.0,0,3,2,1,0,3,0,9,2,9,0
142698.0,0,4,0,3,0,3,0,7,2,10,0
