Mindat_id,litho_class,age_category,Deposit_type
155979.0,felsic,Cenozoic,Porphyry
156937.0,siliciclastic,Paleozoic,VMS
157684.0,mafic,Precambrian,Magmatic sulfide
158068.0,siliciclastic,Cenozoic,Porphyry
158668.0,carbonate,Paleozoic,VMS
158696.0,felsic,Cenozoic,Porphyry
159565.0,volcanic,Cenozoic,VMS
162015.0,carbonate,Cenozoic,Porphyry
164790.0,carbonate,Precambrian,Sediment-Hosted
171360.0,volcanic,Cenozoic,VMS
175692.0,felsic,Paleozoic,VMS
183025.0,felsic,Cenozoic,Porphyry
183459.0,felsic,Cenozoic,Porphyry
185726.0,felsic,Paleozoic,VMS
185841.0,mafic,Paleozoic,VMS
186761.0,metamorphic,Paleozoic,VMS
186817.0,felsic,Precambrian,VMS
186819.0,volcanic,Precambrian,VMS
186820.0,volcanic,Precambrian,VMS
186826.0,volcanic,Precambrian,VMS
186827.0,volcanic,Precambrian,VMS
187465.0,metamorphic,Cenozoic,Porphyry
187984.0,volcanic,Cenozoic,VMS
187986.0,carbonate,Cenozoic,VMS
187989.0,carbonate,Cenozoic,VMS
187990.0,mafic,Cenozoic,VMS
188080.0,volcanic,Cenozoic,VMS
188137.0,volcanic,Mesozoic,Sediment-Hosted
190419.0,mafic,Paleozoic,VMS
190420.0,felsic,Paleozoic,VMS
190718.0,felsic,Precambrian,IOCG
191095.0,felsic,Cenozoic,Porphyry
191789.0,felsic,Precambrian,IOCG
191790.0,siliciclastic,Precambrian,IOCG
191823.0,siliciclastic,Precambrian,Porphyry
192018.0,mafic,Paleozoic,VMS
192116.0,siliciclastic,Paleozoic,VMS
192120.0,mafic,Paleozoic,VMS
192198.0,volcanic,Mesozoic,VMS
192786.0,mafic,Precambrian,Magmatic sulfide
192788.0,mafic,Precambrian,Magmatic sulfide
193448.0,mafic,Precambrian,VMS
193486.0,volcanic,Mesozoic,VMS
193982.0,carbonate,Paleozoic,VMS
194033.0,mafic,Paleozoic,VMS
194178.0,mafic,Paleozoic,VMS
194183.0,carbonate,Cenozoic,Porphyry
194553.0,volcanic,Mesozoic,Porphyry
194599.0,volcanic,Precambrian,VMS
194728.0,felsic,Cenozoic,Porphyry
194773.0,felsic,Mesozoic,Porphyry
195133.0,volcanic,Cenozoic,Porphyry
195134.0,volcanic,Cenozoic,Porphyry
195346.0,mafic,Precambrian,VMS
195350.0,volcanic,Mesozoic,VMS
195374.0,volcanic,Precambrian,VMS
195437.0,mafic,Precambrian,VMS
195439.0,mafic,Precambrian,VMS
195445.0,volcanic,Precambrian,VMS
195447.0,volcanic,Precambrian,VMS
195451.0,volcanic,Precambrian,VMS
195453.0,volcanic,Precambrian,VMS
195460.0,volcanic,Mesozoic,VMS
195554.0,volcanic,Paleozoic,VMS
195671.0,volcanic,Mesozoic,Porphyry
195712.0,felsic,Mesozoic,VMS
195846.0,felsic,Cenozoic,Porphyry
196312.0,metamorphic,Paleozoic,VMS
196390.0,felsic,Mesozoic,Porphyry
196445.0,volcanic,Cenozoic,Porphyry
197027.0,mafic,Cenozoic,VMS
197159.0,metamorphic,Paleozoic,VMS
198217.0,metamorphic,Paleozoic,VMS
198360.0,felsic,Cenozoic,Porphyry
198741.0,metamorphic,Cenozoic,Porphyry
199265.0,felsic,Mesozoic,Porphyry
199343.0,mafic,Mesozoic,Porphyry
199526.0,felsic,Cenozoic,Porphyry
199759.0,mafic,Cenozoic,Porphyry
200220.0,metamorphic,Paleozoic,VMS
200298.0,felsic,Mesozoic,Porphyry
203368.0,mafic,Mesozoic,VMS
203397.0,mafic,Paleozoic,Porphyry
203668.0,felsic,Precambrian,VMS
203679.0,volcanic,Mesozoic,Porphyry
203680.0,volcanic,Mesozoic,Porphyry
203681.0,volcanic,Mesozoic,Porphyry
203795.0,carbonate,Precambrian,Sediment-Hosted
204443.0,volcanic,Paleozoic,VMS
204650.0,mafic,Paleozoic,Porphyry
204651.0,mafic,Paleozoic,Porphyry
