Mindat_id,litho_class,age_category,Deposit_type
195846.0,felsic,Cenozoic,Porphyry
196312.0,metamorphic,Paleozoic,VMS
196390.0,felsic,Mesozoic,Porphyry
196445.0,volcanic,Cenozoic,Porphyry
196547.0,siliciclastic,Unknown,Sediment-Hosted
196592.0,mafic,Unknown,Sediment-Hosted
196596.0,felsic,Unknown,Porphyry
196701.0,siliciclastic,Unknown,Sediment-Hosted
197027.0,mafic,Cenozoic,VMS
197159.0,metamorphic,Paleozoic,VMS
198217.0,metamorphic,Paleozoic,VMS
198360.0,felsic,Cenozoic,Porphyry
198517.0,siliciclastic,Unknown,Sediment-Hosted
198681.0,mafic,Unknown,Sediment-Hosted
198741.0,metamorphic,Cenozoic,Porphyry
199212.0,metamorphic,Unknown,Porphyry
199265.0,felsic,Mesozoic,Porphyry
199343.0,mafic,Mesozoic,Porphyry
199407.0,carbonate,Unknown,Sediment-Hosted
199526.0,felsic,Cenozoic,Porphyry
199695.0,volcanic,Unknown,Sediment-Hosted
199759.0,mafic,Cenozoic,Porphyry
199951.0,volcanic,Unknown,Sediment-Hosted
200220.0,metamorphic,Paleozoic,VMS
200298.0,felsic,Mesozoic,Porphyry
203361.0,mafic,Unknown,VMS
203368.0,mafic,Mesozoic,VMS
203397.0,mafic,Paleozoic,Porphyry
203668.0,felsic,Precambrian,VMS
203671.0,mafic,Unknown,VMS
203679.0,volcanic,Mesozoic,Porphyry
203680.0,volcanic,Mesozoic,Porphyry
203681.0,volcanic,Mesozoic,Porphyry
203795.0,carbonate,Precambrian,Sediment-Hosted
204443.0,volcanic,Paleozoic,VMS
204650.0,mafic,Paleozoic,Porphyry
204651.0,mafic,Paleozoic,Porphyry
204813.0,metamorphic,Paleozoic,Sediment-Hosted
204930.0,volcanic,Paleozoic,VMS
204949.0,carbonate,Paleozoic,VMS
205026.0,volcanic,Cenozoic,Porphyry
205327.0,felsic,Unknown,IOCG
205328.0,mafic,Unknown,IOCG
205449.0,metamorphic,Precambrian,Porphyry
205483.0,volcanic,Precambrian,VMS
205615.0,volcanic,Cenozoic,VMS
205740.0,metamorphic,Cenozoic,Porphyry
205742.0,siliciclastic,Paleozoic,Porphyry
205743.0,mafic,Paleozoic,Porphyry
205747.0,volcanic,Unknown,Porphyry
205749.0,mafic,Cenozoic,Porphyry
205750.0,carbonate,Cenozoic,Porphyry
